Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,18,"Camera Triggering Prototype DONE",2024-08-06,2024-08-06,0 day,0,"","",31,"<p><br></p>"
1,39,"Mid-Term Visit",2024-09-16,2024-09-16,0 day,0,"","",31,"<p><br></p>"
1,40,"End of Internship",2024-10-04,2024-10-04,0 day,0,"","",31,"<p><br></p>"
1,41,"Portfolio Submission",2024-10-11,2024-10-11,0 day,0,"","",31,"<p><br></p>"
1,1,"Research on State-of-the-Art",2024-07-15,2024-07-17,3 day,100,"","",121,"<p><em>â€‹</em></p>"
1,2,"Microcontroller Development",2024-07-17,2024-10-01,55 day,42,"","",271,"<p><br></p>"
2,3,"Microcontroller Board Choice",2024-07-17,2024-07-22,4 day,100,"","",271,"<p><br></p>"
2,4,"Hardware Components Choice",2024-07-22,2024-07-23,2 day,100,"","",271,"<p><br></p>"
2,5,"Order of Microcontroller board and Hardware Components ",2024-07-23,2024-07-23,0 day,0,"","",271,"<p><br></p>"
2,11,"Command Deserializer",2024-07-29,2024-07-30,2 day,100,"","",271,"<p><br></p>"
2,14,"Order Arrival",2024-08-12,2024-09-09,21 day,0,"","",271,"<p><br></p>"
2,15,"Testing Microcontroller Board and hardware Components",2024-08-01,2024-08-05,3 day,100,"","",271,"<p><br></p>"
2,17,"Triggering Camera with Prototype Software",2024-08-05,2024-08-06,2 day,100,"16SS","",271,"<p><br></p>"
2,19,"USB Communication Implementation",2024-08-08,2024-08-09,2 day,100,"","",271,"<p><br></p>"
2,20,"USB-to-UART module",2024-08-12,2024-08-12,1 day,100,"","",271,"<p><br></p>"
2,21,"USB-to-UART module Test",2024-08-16,2024-08-16,1 day,100,"","",271,"<p><br></p>"
2,42,"Refactor and Formalize microcontroller firmware",2024-09-30,2024-10-01,2 day,0,"","",271,"<p><br></p>"
1,6,"Communication Protocol Definition",2024-07-24,2024-07-25,2 day,0,"","",61,"<p><br></p>"
2,9,"First Design of a protocol",2024-07-24,2024-07-25,2 day,0,"","",61,"<p><br></p>"
1,7,"Python Software Prototype",2024-07-23,2024-08-09,14 day,100,"","",241,"<p><br></p>"
2,8,"Research on Plug-and-Play Softwares",2024-07-23,2024-07-29,5 day,100,"","",241,"<p><br></p>"
2,10,"Serial Communication with Board",2024-07-29,2024-07-30,2 day,100,"","",241,"<p><br></p>"
2,12,"Ports Monitoring Research + Implementation",2024-07-30,2024-07-31,2 day,100,"","",241,"<p><br></p>"
2,13,"Architecture Refactoring",2024-07-31,2024-08-09,8 day,100,"","",241,"<p><br></p>"
2,16,"Triggering Camera with Prototype",2024-08-05,2024-08-06,2 day,100,"","",241,"<p><br></p>"
1,22,"Snellium Codebase Integration",2024-08-12,2024-09-27,35 day,74,"","",331,"<p><br></p>"
2,23,"Study of current codebase",2024-08-12,2024-08-16,5 day,100,"","",331,"<p><br></p>"
2,25,"Build and get used to software",2024-08-13,2024-08-13,1 day,100,"","",331,"<p><br></p>"
2,24,"Python to C++ equivalent Research",2024-08-14,2024-08-14,1 day,100,"","",331,"<p><br></p>"
2,26,"Daemon module abstraction",2024-08-16,2024-09-06,16 day,100,"","",331,"<p><br></p>"
3,31,"Implementation",2024-08-16,2024-08-21,4 day,100,"","",331,"<p><br></p>"
3,30,"Merge Request: module abstraction",2024-08-21,2024-09-06,13 day,100,"","",331,"<p><br></p>"
2,27,"Daemon Core implementation",2024-08-22,2024-09-20,22 day,78,"","",331,"<p><br></p>"
3,32,"Implementation",2024-08-22,2024-09-06,12 day,100,"","",331,"<p><br></p>"
3,33,"Device module abstraction implementation",2024-09-06,2024-09-13,6 day,70,"","",331,"<p><br></p>"
3,34,"Merge Request : device module",2024-09-16,2024-09-20,5 day,0,"","",331,"<p><br></p>"
3,46,"EXAMS PREPARATION",2024-08-26,2024-09-04,8 day,100,"","",331,"<p><br></p>"
2,28,"Virtual microcontroller module",2024-09-16,2024-09-20,5 day,0,"","",331,"<p><br></p>"
3,35,"Implementation",2024-09-16,2024-09-17,2 day,0,"","",331,"<p><br></p>"
3,36,"Merge Request: virtual microcontroller module",2024-09-18,2024-09-20,3 day,null,"","",331,"<p><br></p>"
2,29,"Serial Communication microcontroller module",2024-09-23,2024-09-27,5 day,0,"","",331,"<p><br></p>"
3,37,"Implementation",2024-09-23,2024-09-24,2 day,0,"","",331,"<p><br></p>"
3,38,"Merge Request: Serial Communication",2024-09-25,2024-09-27,3 day,0,"","",331,"<p><br></p>"
1,43,"Physical Setup & System Validation",2024-09-30,2024-10-04,5 day,0,"","",181,"<p><br></p>"
2,44,"Solder and House hardware components",2024-09-30,2024-09-30,1 day,0,"","",181,"<p><br></p>"
2,45,"Test & Debug",2024-10-01,2024-10-04,4 day,0,"","",181,"<p><br></p>"